Index;Navn;Moh;Pf;Kartblad M711;Koordinater UTM 32V;Koordinater grad, min, sek
[81] ;Rauddalseggje, Store ;2168;650;1517 I «Tyin» ;463250 6815050 ;61°28′03″N 08°18′37″Ø
[82] ;Nørdre Styggehøbreatinden ;2168;60;1618 III «Glittertinden» ;475850 6827150 ;61°34′37″N 08°32′43″Ø
[83] ;Skagastølstinden, N ;2167;60;1517 IV «Hurrungane» ;439550 6816000 ;61°28′23″N 07°51′55″Ø
[84] ;Bukkeholstindan, V-4 ;2166;50;1518 II «Galdhøpiggen» ;461250 6829450 ;61°35′48″N 08°16′11″Ø
[85] ;Bukkeholstindan, V-2 ;2166;30;1518 II «Galdhøpiggen» ;461650 6829000 ;61°35′33″N 08°16′39″Ø
[86] ;Bukkeholstindan, V-1 ;2166;30;1518 II «Galdhøpiggen» ;462100 6828800 ;61°35′27″N 08°17′09″Ø
[87] ;Nørdre Blåbreahøe ;2165;58;1618 III «Glittertinden» ;476350 6824800 ;61°33′22″N 08°33′18″Ø
[88] ;Slettmarkpiggen ;2163;150;1517 I «Tyin» ;471500 6807200 ;61°23′52″N 08°27′59″Ø
[89] ;Tverrbottinden, Store ;2161;282;1518 II «Galdhøpiggen» ;460450 6827150 ;61°34′33″N 08°15′19″Ø
[90] ;Trollsteinhøe, S ;2161;30;1618 III «Glittertinden» ;477750 6840000 ;61°41′33″N 08°34′46″Ø
[91] ;Bukkeholstindan, V-3 ;2161;35;1518 II «Galdhøpiggen» ;461600 6829250 ;61°35′41″N 08°16′35″Ø
[92] ;Maradalstinden, N-2 ;2160;30;1517 IV «Hurrungane» ;440700 6814450 ;61°27′33″N 07°53′15″Ø
[93] ;Hestbrepiggen, M-1 ;2160;190;1518 III «Sygnefjell» ;451500 6845600 ;61°44′25″N 08°04′55″Ø
[94] ;Skarddalseggje ;2159;570;1517 I «Tyin» ;464800 6817000 ;61°29′06″N 08°20′21″Ø
[95] ;Rauddalstinden, Store ;2157;590;1517 I «Tyin» ;456700 6818150 ;61°29′41″N 08°11′12″Ø
[96] ;Uranostinden ;2157;692;1517 I «Tyin» ;454650 6810600 ;61°25′36″N 08°09′00″Ø
[97] ;Veslfjelltinden ;2157;189;1518 II «Galdhøpiggen» ;453000 6831050 ;61°36′36″N 08°06′50″Ø
[98] ;Skarvflytinden, M ;2154;60;1617 IV «Gjende» ;478650 6811500 ;61°26′12″N 08°35′59″Ø
[99] ;Gråhøe ;2154;60;1618 III «Glittertinden» ;476800 6839750 ;61°41′25″N 08°33′41″Ø
[100] ;Bukkeholstindan, M-1 ;2154;30;1518 II «Galdhøpiggen» ;462850 6827850 ;61°34′56″N 08°18′01″Ø
[101] ;Tverrbottinden, M-1 ;2151;88;1518 II «Galdhøpiggen» ;461200 6826600 ;61°34′15″N 08°16′10″Ø
[102] ;Veslebjørn, S ;2150;80;1518 II «Galdhøpiggen» ;453650 6824950 ;61°33′19″N 08°07′40″Ø
[103] ;Bukkeholstindan, N ;2149;100;1518 II «Galdhøpiggen» ;462900 6829050 ;61°35′35″N 08°18′04″Ø
[104] ;Semelholstinden ;2147;140;1518 II «Galdhøpiggen» ;465800 6822550 ;61°32′06″N 08°21′25″Ø
[105] ;Dyrhaugstinden, Store ;2147;420;1517 IV «Hurrungane» ;437650 6814550 ;61°27′35″N 07°49′49″Ø
[106] ;Tjørnholsoksle ;2145;130;1617 IV «Gjende» ;480650 6811050 ;61°25′58″N 08°38′14″Ø
[107] ;Hestbrepiggen, M-2 ;2143;50;1518 III «Sygnefjell» ;449900 6845650 ;61°44′26″N 08°03′05″Ø
[108] ;Ryggehøi ;2142;300;1618 III «Glittertinden» ;476700 6831800 ;61°37′08″N 08°33′38″Ø
[109] ;Snøholtinden ;2141;676;1517 I «Tyin» ;463200 6812150 ;61°26′29″N 08°18′36″Ø
[110] ;Vestre Memurutindan, V-5 ;2140;80;1618 III «Glittertinden» ;472800 6822950 ;61°32′21″N 08°29′18″Ø
[111] ;Hestbrepiggen, V-2 ;2139;50;1518 III «Sygnefjell» ;447750 6844750 ;61°43′56″N 08°00′40″Ø
[112] ;Storronden ;2138;390;1718 I «Rondane» ;545300 6862400 ;61°53′30″N 09°51′43″Ø
[113] ;Svartdalspiggen, N ;2137;50;1617 IV «Gjende» ;473800 6809850 ;61°25′18″N 08°30′33″Ø
[114] ;Mjølkedalstinden ;2137;550;1517 I «Tyin» ;460050 6814200 ;61°27′34″N 08°15′02″Ø
[115] ;Hellstugubrehesten, N ;2136;40;1518 II «Galdhøpiggen» ;469700 6824750 ;61°33′18″N 08°25′47″Ø
[116] ;Bukkeholstindan, M-2 ;2135;45;1518 II «Galdhøpiggen» ;462250 6827900 ;61°34′58″N 08°17′20″Ø
[117] ;Kniven ;2133;100;1518 II «Galdhøpiggen» ;453500 6826350 ;61°34′04″N 08°07′28″Ø
[118] ;Hestbrepiggen, Ø-1 ;2132;50;1518 II «Galdhøpiggen» ;452950 6845750 ;61°44′31″N 08°06′33″Ø
[119] ;Burchardts tind ;2125;30;1617 IV «Gjende» ;476250 6811400 ;61°26′09″N 08°33′17″Ø
[120] ;Ringstind, Store ;2124;270;1517 IV «Hurrungane» ;436000 6812600 ;61°26′31″N 07°48′00″Ø
[121] ;Lindbergtinden ;2120;50;1518 II «Galdhøpiggen» ;461800 6830300 ;61°36′15″N 08°16′48″Ø
[122] ;Nørdre Veotinden ;2120;47;1618 III «Glittertinden» ;475200 6827950 ;61°35′03″N 08°31′58″Ø
[123] ;Hellstugubrehesten, S ;2120;30;1518 II «Galdhøpiggen» ;470100 6824300 ;61°33′04″N 08°26′15″Ø
[124] ;Torfinnstinden, Ø ;2120;190;1617 IV «Gjende» ;477400 6804450 ;61°22′24″N 08°34′38″Ø
[125] ;Skeii ;2118;60;1518 II «Galdhøpiggen» ;453000 6825100 ;61°33′24″N 08°06′56″Ø
[126] ;Urdadalstinden, Store ;2116;270;1518 II «Galdhøpiggen» ;466900 6824350 ;61°33′05″N 08°22′38″Ø
